
No.	单词	解释
390	canard	n. 误传，谬传；谣言
391	canny	adj. 精明的，谨慎的；节约的
392	canon	n. 标准；教规；正典圣经；教士
393	cane	1. n. 藤条；手杖；细长的茎<br>2. vt. 以杖击；以藤编制
394	ecclesiastical	adj. 基督教的;教会的; adv. 基督教地;教会地副 词: ecclesiastically
395	canvass	1. vt. 彻底检查；向…拉票或拉生意；细究<br>2. vi. 游说；拉选票
396	canvas	1. n. 帆布<br>2. vt. 用帆布覆盖，用帆布装备
397	cannabis	n. 印度大麻（等于hemp）；大麻烟原料；大麻雌花顶部
398	sift	1. vt. 筛选；过滤；撒；详查<br>2. vi. 筛；撒下；细究；详查
399	toss	1. n. 投掷；摇荡；投掷的距离；掷币赌胜负<br>2. vt. 投掷；使…不安；突然抬起；使…上下摇动；与…掷币打赌
400	sheet	1. n. 薄片，纸张；床单；薄板<br>2. vt. 盖上被单；覆盖；使成大片
401	capitula	n. [植]头状花序；骨端（capitulum的复数）
402	capitulant	n. 投降者
403	capitulate	vi. 投降时 态: capitulated, capitulating, capitulates 名 词: capitulant 名 词: capitulator
404	capitulation	n. （有条件的）投降；投降协定；（文件、声明等的）要点；条约
405	caprice	n. 任性，反复无常；随想曲
406	cab	1. n. 出租汽车；出租马车；驾驶室<br>2. vi. 乘出租马车（或汽车）
407	connect	1. vt. 连接；联合；关连<br>2. vi. 连接，连结；联合
408	goat	n. 山羊；替罪羊（美俚）；色鬼（美俚）
409	frisking	v. 搜寻；嬉戏；雀跃（frisk的现在分词形式）
410	hedgehog	n. 刺猬
411	frizzled	1. adj. 卷曲的<br>2. v. 使卷曲（frizzle的过去式和过去分词）
412	captious	adj. 吹毛求疵的；挑剔的
413	captivate	vt. 迷住;迷惑; n. 迷惑,迷人; n. 有吸引力的人或物时 态: captivated, captivating, captivates 名 词: captivatio...
414	captive	1. adj. 被俘虏的；被迷住的<br>2. n. 俘虏；迷恋者
415	careen	1. vi. 倾侧，倾斜<br>2. vt. 使倾侧，使倾斜
416	keel	1. vt. 给…装龙骨；把…翻转<br>2. n. 龙骨；平底船；龙骨脊
417	caricature	1. n. 漫画；讽刺画；漫画手法<br>2. vt. 画成漫画讽刺
418	charge	1. n. 费用；掌管；控告；负载；电荷；命令<br>2. vt. 装载；对…索费；使承担；向…冲去；指责；使充电
419	satirical	adj. 含讽刺意味的, 嘲讽的副 词: satirically
420	carouse	1. vi. 畅饮；欢宴<br>2. n. 喧闹的酒会或宴会；一饮而尽
421	quaff	1. vt. 大口地喝，痛饮<br>2. vi. 狂饮，痛饮
422	swill	1. n. 冲洗；痛饮；涮；泔水<br>2. vt. 冲洗；痛饮；涮；倒出
423	carp	1. vi. 吹毛求疵<br>2. n. 鲤鱼
424	catholic	1. adj. 天主教的；宽宏大量的<br>2. n. 天主教徒；罗马天主教
425	castigate	vt. 严厉责骂、批评或惩罚; n. 严厉的责骂、批评或惩罚; n. 鞭打者;申斥者;修订者; adj. 鞭打的;申斥的;修订的时 态: castigated, castigating,...
426	caste	n. （具有严格等级差别的）社会地位；（印度社会中的）种姓；（排他的）社会团体
427	catalyze	vt. [化]催化；刺激，促进
428	catalysis	n. 催化作用
429	cata-	pref. 表示“下,向下”之义
430	is	1. v. 是（be的三单形式）<br>2. n. 存在
431	catalogue	n. 目录, 一览表; 系列; vt. 为…编目录, 登记分类
432	catapult	1. n. 石弩；弹弓；[军]飞机弹射器；（飞机上的）座椅弹射器<br>2. vt. 用弹弓射；用弹射器发射；猛投
433	catachresis	n. 用词不当,修辞生硬且自相矛盾的误用,词形更改形容词: catachrestic 副 词: catachrestically
434	catastrophe	n. 灾祸, 灾难
435	first	1. adv. 第一；首先；优先；宁愿<br>2. n. 第一；开始；冠军
436	strophe	n. 诗节；古希腊歌队唱的歌
437	trample	1. vt. 践踏；蔑视，伤害<br>2. vi. 践踏；蔑视，伤害；脚步沉重地走
438	tramp	1. vi. 脚步沉重地行走；践踏，踩；流浪<br>2. n. 沉重的脚步声；徒步旅行；流浪者
439	caustic	1. adj. [化]腐蚀性的；苛性的；刻薄的；[物]焦散的<br>2. n. [医]腐蚀剂；[化]苛性钠；[物]焦散曲线
440	corrosive	adj. 腐蚀性的;侵蚀性的; 有害的, 逐步起损害作用的; 激烈的, 刻薄的副 词: corrosively 名 词: corrosiveness
441	corrode	1. vt. 侵蚀；损害<br>2. vi. 受腐蚀；起腐蚀作用
442	rodent	1. adj. 咬的，嚼的；啮齿类的；侵蚀性的<br>2. n. 啮齿动物
443	sarcastic	adj. 讥讽的, 讽刺的, 挖苦的副 词: sarcastically
444	combustible	adj. 易燃的,可燃的; n. 易燃物,可燃物名 词: combustibility 副 词: combustibly
445	combustion	n. 燃烧, 烧毁形容词: combustive
446	cavil	1. vi. 挑剔；吹毛求疵<br>2. vt. 吹毛求疵；无端指摘
447	cavort	vi. 腾跃；欢跃
448	vault	1. n. 拱顶；地下室；撑竿跳<br>2. vi. 跳跃；成穹状弯曲
449	volvox	n. [植]团藻，团藻属
450	cement	1. vt. 巩固，加强；用水泥涂；接合<br>2. vi. 粘牢
451	mortar	1. n. 灰泥；臼，研钵；迫击炮<br>2. vt. 用灰泥涂抹，用灰泥结合
452	pitch	1. vi. 投掷；倾斜；坠落；搭帐篷<br>2. vt. 投；定位于；掷；用沥青涂；扎营；向前倾跌
453	broken	1. adj. 坏掉的；破碎的<br>2. v. 打碎；折断；损坏（break的过去分词）
454	-cide	n. 苹果汁；苹果酒
455	censorious	adj. 苛评的,吹毛求疵的副 词: censoriously 名 词: censoriousness
456	censor	1. vt. 审查，检查<br>2. n. 检查员；潜意识压抑力；信件检查员
457	ceremony	n. 典礼，仪式；礼节，礼仪；客套，虚礼
458	sacredness	神圣
459	rites	n. 仪式（rite的复数）
460	Caere	n. 卡那封郡,卡那封
461	certitude	n. 确信；确实
462	certain	1. adj. 某一；确信；无疑的；有把握的；必然的<br>2. pron. 某些；某几个
463	assert	vt. 断言；主张；声称；维护，坚持
464	assertion	n. 主张,维护;坚持; 强硬陈词;断言形容词: assertional
465	series	n. 系列，连续；丛书；[电]串联；[数]级数
466	assess	vt. 评定；估价；对…征税
467	sedentary	adj. 坐着的; 坐着干的,案头的; 不爱活动的副 词: sedentarily 名 词: sedentariness
468	fine	1. adj. 好的；优良的；晴朗的；健康的；细小的，精美的<br>2. n. 罚款
469	assist	1. n. 帮助；助攻<br>2. vi. 参加；出席
470	ad-	pref. 见于拉丁词源的字,表示“向...”之义
471	cessation	n. 停止,休止,中断
472	cease	1. vi. 停止；终了<br>2. vt. 停止；结束
473	chagrin	1. n. 懊恼；气愤；委屈<br>2. vt. 使…懊恼
474	anxiety	n. 焦虑；挂念；渴望；令人焦虑的事
475	melancholy	n. 忧郁, 悲哀; adj. 忧郁的, 悲伤的副 词: melancholily 名 词: melancholiness
476	melanin	n. 黑色素
477	Chloe	n. 克洛伊（女子名）
478	gleam	1. n. 微光；闪光；瞬息的一现<br>2. vi. 闪烁；隐约地闪现
479	bile	n. 胆汁；愤怒
480	shagreen	n. 鲨革；表面粗糙又有粒状的生皮
481	askew	1. adj. 歪斜的<br>2. adv. 歪斜地，斜地
482	skew	1. n. 歪斜；斜交<br>2. adj. 斜交的；歪斜的
483	eschew	vt. 避开；远避；避免
484	slanting	1. adj. 倾斜的<br>2. v. 使倾斜（slant的ing形式）
485	explanation	n. 解释, 说明; 能说明某事缘由的言语、事实、情况等
486	asperation	1. n. 芦笋<br>2. vt. 洒
487	asperate	1. adj. 粗糙的<br>2. vt. 使粗糙
488	asperity	n. （表面的）粗糙；（气候等的）严酷；艰苦的条件；（性格）粗暴
489	aspersion	n. 中伤，诽谤；洒水
490	of	prep. 属于；关于；…的；由…组成的
491	sparse	adj. 稀疏的；稀少的
492	sprinkling	n. 少量;一点儿
493	shedding	1. n. 蜕落；脱落<br>2. v. 脱落（shed的ing形式）
494	bespatter	vt. 溅污时 态: bespattered, bespattering, bespatters
495	intercepter	扼流板
496	intercept	vt. 拦截, 截住, 截击时 态: intercepted, intercepting, intercepts 形容词: interceptive
497	dispose	1. vt. 处理；处置；安排<br>2. vi. 处理；安排；（能够）决定
498	discompose	vt. 使不安,使烦恼时 态: discomposed, discomposing, discomposes 副 词: discomposedly 副 词: disco...
499	decompose	分解; 腐烂
500	aspirant	1. n. 有抱负的人；野心家<br>2. adj. 上进的；有野心的
501	aspire	vi. 渴望；追求；立志
502	sit	1. vi. 坐；位于<br>2. vt. 使就座
503	assuage	vt. 缓和；减轻；平息
504	stand	1. vi. 位于；站立；停滞<br>2. vt. 忍受；使站立；抵抗
505	astounding	adj. 使人震惊的
506	astound	vt. 使惊骇；使震惊
507	Latin	1. adj. 拉丁语的；拉丁人的<br>2. n. 拉丁语；拉丁人
508	astonish	vt. 使惊讶
509	asunder	1. adv. 化为碎片地；分离地<br>2. adj. 分成碎片的；分离的
510	sunder	1. vt. 切开；切断<br>2. vi. 分离；断开
511	atone	1. vt. 赎罪；弥补；偿还<br>2. vi. 赎回；弥补
512	accord	1. n. 一致；符合；协议；自愿<br>2. vt. 使一致；给予
513	one	num. 一; n. 一个人, 任何人, 人们; 某一例〔类〕; pron. 用于代替表示单个的事或人的名词或名词短语; 你可真行，可了不得; 一致地；全体；同时; 完全一致，融为一体；赞同...
514	atrocious	adj. 恶毒的;残忍的；残暴的; 令人震惊的;骇人听闻的; 非常恶劣的,糟透的副 词: atrociously 名 词: atrociousness
515	atrocity	n. 暴行；凶恶，残暴
516	fierceness	n. 凶猛,猛烈
517	harshness	n. 粗糙的事物,严肃,刺耳
518	fiery	adj. 燃烧般的；热烈的，炽烈的；暴躁的
519	atrium	n. [医]心房；[建]中庭，天井前厅
520	deed	1. n. 行动；证书；[法]契据<br>2. vt. 立契转让
521	hearth	n. 炉床；炉边；灶台；壁炉地面
522	upper	adj. 上面的，上部的；较高的
523	cavity	n. 洞，凹处；腔
524	skylit	1. adj. 有天窗的<br>2. v. 使用天窗采光（skylight的过去式和过去分词）
525	skylight	n. 天窗
526	atrophy	1. n. 萎缩，萎缩症；发育停止<br>2. vi. 萎缩；虚脱
527	-trophy	n. 营养叶
528	congeal	1. vi. 凝结；凝固<br>2. vt. 使…凝结；使…冻结
529	rear	1. vt. 培养；树立；栽种<br>2. vi. 暴跳；高耸
530	thicken	1. vt. 使变厚；使模糊；使…变复杂<br>2. vi. 变浓；变厚；变得模糊；变粗；变复杂
531	trope	n. 比喻；转义；修辞
532	fatten	1. vt. 使肥沃；使充实；养肥<br>2. vi. 养肥；（靠…）发财
533	attenuate	vt. & vi. 变细；变薄；变小; 减弱,贬值; adj. 稀薄的; 细小的; 减弱的;减少的时 态: attenuated, attenuating, attenuates ...
534	tenet	n. 原则；信条；教义
535	audacious	adj. 大胆的, 有冒险精神的; 有勇无谋的, 冒失的, 厚颜无耻的副 词: audaciously 名 词: audaciousness
536	austere	adj. 简朴的；严峻的；苦行的；无装饰的
537	sour	1. adj. 酸的；酸臭的；讨厌的；刺耳的；发酵的<br>2. vi. 变酸；厌烦；发酵
538	tart	1. adj. 酸的；锋利的；尖刻的<br>2. n. 果馅饼；[俚]妓女
539	bitter	1. adj. 苦的；痛苦的；充满仇恨的；尖刻的<br>2. n. 苦味；苦啤酒
540	autocracy	n. 独裁；独裁统治；独裁政体; 独裁政府;独裁统治的国家
541	supreme	adj. 最高的; 至上的; 最重要的比较级: supremer, supremest 缩 写: supr 副 词: supremely 名 词: supremen...
542	autocrat	n. 独裁者，专制君主；独断独行的人
543	auto-	pref. 自己；自动；汽车
544	avarice	n. 贪婪，贪财
545	crave	1. vt. 恳求；渴望<br>2. vi. 渴望；恳求
546	covetousness	n. 一队；一群
547	aver	vt. 断言，极力声明；主张
548	very	1. adj. 十足的；恰好是，正是；甚至；特有的<br>2. adv. 非常，很；完全
549	aversion	n. 厌恶；讨厌的人
550	avert	vt. 避免，防止；转移
551	awkward	adj. 笨拙的；尴尬的；棘手的；不合适的
552	awk	adj. 笨拙的；尴尬的；棘手的；不合适的
553	apo-	脱玻安山岩
554	awry	1. adv. 歪曲；歪斜地；错误低<br>2. adj. 错误的；扭曲的
555	wry	1. adj. 歪斜的，扭歪的；歪曲的<br>2. vt. 扭曲；扭歪
556	badger	n. 獾；獾皮毛
557	baiting	1. n. 诱饵<br>2. v. 诱惑（bait的ing形式）
558	badinage	1. n. 开玩笑；嘲弄，揶揄<br>2. vt. 打趣
559	abash	vt. 使困窘；使羞愧；使局促不安
560	railery	n. 善意的嘲笑；玩笑
561	railer	n. 骂人者；斥责者
562	baffle	1. vt. 使…困惑；使…受挫折；用挡板控制<br>2. n. 挡板；困惑
563	disgrace	1. n. 耻辱；丢脸的人或事；失宠<br>2. vt. 使……失宠；给……丢脸；使……蒙受耻辱；贬黜
564	bale	1. vt. 将某物打成包或包装成捆<br>2. n. 货物；大包，大捆
565	blow	1. n. 吹；殴打；打击<br>2. vi. 风吹；喘气
566	balk	1. n. 障碍；错误<br>2. vt. 阻止；推诿；错过
567	ridge	1. n. 山脉；山脊；屋脊<br>2. vt. 使成脊状；作垄
568	bank	1. n. 银行；岸；储库；浅滩<br>2. vt. 将…存入银行；倾斜转弯
569	bane	n. 毒药；祸害；灭亡的原因
570	banter	1. n. （善意的）戏谑；逗弄<br>2. vt. 善意地取笑；逗弄
571	barbarous	adj. 野蛮的,未开化的,原始的; 残暴的,禽兽般的; 粗野的;无教养的;无文化的; 不合规范的; 外邦的;异族的; 非希腊的;非基督教的; 粗声粗气的;粗哑的副 词: barbaro...
572	words	1. n. 言语；话语；字（word的复数）<br>2. v. 用言语表达（word的三单形式）
573	barbarian	野蛮人; 野蛮的
574	barefaced	adj. 厚颜无耻的; 露骨的副 词: barefacedly 名 词: barefacedness
575	fuller	n. 漂洗工；套柄铁锤
576	rye	1. n. 黑麦；吉卜赛绅士<br>2. adj. 用黑麦制成的
577	let alone	更不必说；听任；不打扰
578	let down	放下；使失望；辜负；减速下降
579	esoteric	adj. 秘传的；限于圈内人的；难懂的
580	avenue	n. 林荫大道；大街
581	charade	n. 看手势猜字谜游戏
582	charisma	n. 神授的能力；非凡的领导力；魅力
583	Charis	n. 神授的能力；非凡的领导力；魅力
584	chary	adj. 谨慎的；仔细的；吝啬的；怕羞的
585	cherub	n. 小天使；胖娃娃；天真美丽的儿童
586	Hebrew	1. n. 希伯来人，犹太人；希伯来语<br>2. adj. 希伯来人的；希伯来语的
587	charry	1. adj. 炭的，似炭的；率直的，坦率的<br>2. adv. 完全地，彻底地
588	chicanery	n. 耍花招哄骗别人;不诚实的行为; 哄骗;欺骗
589	quibbling	n. 诡辩,找碴子
590	sophistry	n. 诡辩术; 诡辩
591	childe	n. [古]贵公子；少爷；公子
592	child	n. 儿童，孩子；子孙；产物
593	chide	1. vt. 责骂；斥责<br>2. vi. 斥责；责骂
594	rail	1. n. 横杆；扶手；围栏；铁轨<br>2. vi. 抱怨；责骂
595	nag	1. n. 老马；竞赛马；唠叨<br>2. vt. 使烦恼；不断地唠叨
596	neigh	1. vi. 马嘶<br>2. n. 马嘶声
597	gnaw	1. vt. 咬；折磨；侵蚀<br>2. vi. 咬；折磨；侵蚀
598	contend	1. vi. 竞争；斗争；奋斗；争论<br>2. vt. 主张；为...斗争
599	stretch	1. vt. 伸展,张开<br>2. vi. 伸展
600	brandish	1. vt. 挥舞；炫耀<br>2. n. 挥舞
601	wicked	adj. 邪恶的；顽皮的；恶劣的；不道德的
602	chivalric	adj. 有武士气概的,有武士风范的
603	chivalrous	adj. 有骑士风度的,彬彬有礼的副 词: chivalrously 名 词: chivalrousness
604	chivalry	n. 骑士制度；骑士精神（复数chivalries）
605	cavalier	1. n. 骑士；武士；对女人献殷勤<br>2. adj. 漫不经心的；无忧无虑的；傲慢的
606	chevalier	n. 骑士,爵士,武士的随从 Chevalier谢瓦利埃
607	choleric	adj. 易怒的；暴躁的；胆汁质的
608	choler	n. 胆汁；愤怒
609	cholera	n. [医]霍乱
610	chorale	n. 赞美诗
611	chant	1. n. 圣歌；赞美诗<br>2. vt. 唱；诵扬
612	choral	1. adj. 合唱队的；合唱的<br>2. n. 赞美诗；唱诗班
613	chromatic	adj. 有颜色的,颜色鲜艳的副 词: chromatically 名 词: chromaticism
614	chroma	n. （色彩的）浓度，色度
615	grit	1. vt. 研磨；在…上铺砂砾<br>2. vi. 摩擦作声
616	Languedoc	n. 郎格多克
617	trickery	n. 欺骗；奸计；诡计
618	tradition	n. 传统; 惯例
619	treason	n. 叛国罪；不忠
620	engage	1. vt. 雇佣；吸引，占用；使订婚；使参加；预定<br>2. vi. 答应，保证；从事；交战；啮合
621	Germanic	1. adj. 德国的；德语的；日耳曼人的；日耳曼语的<br>2. n. 日耳曼语
622	responsibility	n. 责任; 责任感, 可信赖性; 职责, 所负责任的事
623	retort	1. n. 反驳，顶嘴；曲颈瓶<br>2. vt. 反驳，反击
624	arrogant	adj. 自大的，傲慢的
625	intervene	vi. 干涉, 干预; 调解; 干扰, 阻碍时 态: intervened, intervening, intervenes 名 词: intervenor or 名 词...
626	grandeur	n. 庄严；壮丽；宏伟
627	remodel	vt. 改变；改造；改型
628	orb	1. n. 天体；球；圆形物<br>2. vt. 成球形；弄圆；围着
629	enforcement	n. 强制,实施,执行
630	wash	1. n. 洗涤；洗的衣服；冲积物；化妆水<br>2. vt. 洗涤；冲走；拍打；洗刷
631	fletcher	n. 弗莱彻（姓氏， 男子名）；弗莱彻（John， 1579-1625， 英国剧作家）；弗莱彻（John Gould， 1886-1950， 美国诗人及批评家）
632	arrow	1. n. 箭状物；箭头记号；箭，箭头<br>2. vt. 以箭头指示；箭一般地飞向
633	poisonous	adj. 有毒的; 引起中毒的, 有害的; 讨厌的, 恶意的副 词: poisonously 名 词: poisonousness
634	august	1. adj. 威严的；令人敬畏的<br>2. n. 八月（简写为Aug）
635	laudable	adj. 值得赞赏的
636	recyclable	adj. 可循环再用的
637	glade	n. 林间空地；沼泽地
638	prosaic	adj. 平凡的，乏味的；散文体的
639	unhappily	adv. 不快乐地;悲惨地;痛苦地; 不幸地;遗憾地; 不适当地
